CODE;NAME;STAT_ID;LAT;LON;ALT;NETWORK
6400;KOKSIJDE;5;51.089;2.654;9;SYNOP MeteoWing
6407;MIDDELKERKE;2;51.199;2.853;5;SYNOP Belgocontrol
6414;BEITEM;663;50.905;3.123;25;SYNOP RMI
6418;ZEEBRUGGE AWS;774;51.349;3.196;8;SYNOP RMI
6428;SEMMERZAKE;486;50.941;3.671;37;SYNOP MeteoWing
6431;ZELZATE AWS;628;51.181;3.809;8;SYNOP RMI
6432;CHIEVRES;85;50.573;3.833;63;SYNOP MeteoWing
6434;MELLE;81;50.976;3.825;15;SYNOP RMI
6438;STABROEK;1225;51.326;4.365;5;SYNOP RMI
6439;SINT-KATELIJNE-WAVER;882;51.076;4.526;10;SYNOP RMI
6447;UCCLE-UKKEL;627;50.797;4.358;101;SYNOP RMI
6449;GOSSELIES;241;50.455;4.443;192;SYNOP Belgocontrol
6450;DEURNE;24;51.192;4.453;14;SYNOP Belgocontrol
6451;ZAVENTEM/MELSBROEK;171;50.897;4.528;58;SYNOP Belgocontrol
6455;DOURBES;639;50.096;4.596;233;SYNOP RMI
6456;FLORENNES;272;50.235;4.654;299;SYNOP MeteoWing
6458;BEAUVECHAIN;200;50.747;4.765;127;SYNOP MeteoWing
6459;ERNAGE;640;50.583;4.691;157;SYNOP RMI
6464;RETIE;623;51.222;5.028;21;SYNOP RMI
6465;SCHAFFEN;139;50.998;5.063;54;SYNOP MeteoWing
6472;HUMAIN;624;50.194;5.257;296;SYNOP RMI
6476;SAINT-HUBERT;414;50.04;5.405;557;SYNOP Belgocontrol
6477;DIEPENBEEK;660;50.916;5.451;39;SYNOP RMI
6478;BIERSET;495;50.646;5.46;178;SYNOP Belgocontrol
6479;KLEINE-BROGEL;141;51.17;5.464;64;SYNOP MeteoWing
6484;BUZENOL;653;49.621;5.589;324;SYNOP RMI
6490;SPA (AERODROME);348;50.479;5.911;482;SYNOP Belgocontrol
6494;MONT RIGI;626;50.512;6.075;673;SYNOP RMI
6496;ELSENBORN;352;50.483;6.182;570;SYNOP MeteoWing
102;KNOKKE-HEIST;4;51.337;3.327;4;CLIM RR
103;KOKSIJDE;5;51.089;2.654;9;CLIM RR
106;NIEUWPOORT;506;51.134;2.759;5;CLIM RR
107;VEURNE;9;51.072;2.669;6;CLIM RR
111;ZEEBRUGGE AWS;774;51.349;3.196;8;CLIM RR
200;OOSTKERKE;1297;51.279;3.293;5;CLIM RR
201;MIDDELKERKE;2;51.199;2.853;5;CLIM RR
202;HOUTAVE;501;51.237;3.109;3;CLIM RR
203;LISSEWEGE;633;51.298;3.193;4;CLIM RR
301;BASSEVELDE;632;51.223;3.667;5;CLIM RR
304;BEERST;762;51.053;2.895;3;CLIM RR
305;POLLINKHOVE;21;50.958;2.737;6;CLIM RR
306;MOERE;15;51.122;2.967;5;CLIM RR
309;WATERLAND-OUDEMAN;1142;51.277;3.601;1;CLIM RR
502;DEURNE;24;51.192;4.453;14;CLIM RR
504;STABROEK;1225;51.326;4.365;5;CLIM RR
505;NIEUWKERKEN;1131;51.199;4.193;17;CLIM RR
506;ANTWERPEN-HAVEN;1115;51.291;4.378;3;CLIM RR
508;DENDERMONDE;35;51.044;4.085;6;CLIM RR
604;ZELE;29;51.057;4.043;5;CLIM RR
606;DE KLINGE;768;51.258;4.095;5;CLIM RR
705;ROESELARE;56;50.943;3.127;18;CLIM RR
711;BEITEM AWS;663;50.905;3.123;25;CLIM RR
800;LEMBERGE;61;50.983;3.779;28;CLIM RR
802;KRUISHOUTEM;63;50.944;3.527;9;CLIM RR
804;WEVELGEM;65;50.818;3.168;19;CLIM RR
806;KLUIZEN;68;51.158;3.731;NA;CLIM RR
808;GENTBRUGGE;69;51.047;3.748;7;CLIM RR
902;SINT-BAAFS-VIJVE;73;50.915;3.418;8;CLIM RR
903;OOIGEM;74;50.899;3.346;12;CLIM RR
904;KORTRIJK;75;50.836;3.272;11;CLIM RR
908;BOEZINGE;78;50.897;2.865;17;CLIM RR
909;WINGENE;79;51.079;3.338;16;CLIM RR
910;MEIGEM;80;51.016;3.476;17;CLIM RR
911;MENEN-OOST;1132;50.814;3.149;15;CLIM RR
1002;SEMMERZAKE;486;50.941;3.671;37;CLIM RR
1003;LICHTERVELDE;58;51.025;3.119;25;CLIM RR
1004;POPERINGE;60;50.862;2.741;12;CLIM RR
1006;ZOMERGEM;59;51.11;3.564;13;CLIM RR
1007;ASSEBROEK;447;51.199;3.27;5;CLIM RR
1009;ZELZATE AWS;628;51.181;3.809;8;CLIM RR
1011;WINGENE;654;51.065;3.33;19;CLIM RR
1013;INGELMUNSTER;778;50.913;3.285;20;CLIM RR
1014;HOOGLEDE;887;50.98;3.073;49;CLIM RR
1017;HOUTHULST;913;50.969;2.912;18;CLIM RR
1019;PASSENDALE;1358;50.903;3.03;40;CLIM RR
1021;URSEL;1226;51.135;3.501;8;CLIM RR
1022;LAARNE;1296;51.035;3.834;5;CLIM RR
1023;OOST-VLETEREN;1362;50.922;2.762;10;CLIM RR
1024;WEST-VLETEREN;1360;50.886;2.74;15;CLIM RR
1081;MELLE AWS;81;50.976;3.825;15;CLIM RR
1202;SINT-MARIA-LATEM;446;50.889;3.706;35;CLIM RR
1205;BRUSSEGEM;39;50.922;4.248;53;CLIM RR
1210;ASSSE-TER-HEIDE;484;50.925;4.156;50;CLIM RR
1211;HELDERGEM;658;50.874;3.964;74;CLIM RR
1212;LEDE;659;50.974;3.993;10;CLIM RR
1213;WORTEGEM;881;50.861;3.523;43;CLIM RR
1214;ZULZEKE;880;50.788;3.573;28;CLIM RR
1401;ASPER;45;50.918;3.666;7;CLIM RR
1600;CHIEVRES;85;50.573;3.833;63;CLIM RR
1707;NECHIN;88;50.674;3.272;22;CLIM RR
1708;TOURNAI;92;50.611;3.378;27;CLIM RR
1709;HERINNES;93;50.706;3.369;16;CLIM RR
1710;VEZON;610;50.57;3.524;70;CLIM RR
1711;ESCANAFFLES;652;50.723;3.462;20;CLIM RR
1712;VAUDIGNIES;791;50.556;3.794;25;CLIM RR
1714;THIMOUGIES;1134;50.633;3.511;76;CLIM RR
1802;MOUSCRON;94;50.751;3.237;58;CLIM RR
1901;HEULTJE;114;51.083;4.913;17;CLIM RR
1905;WESTMALLE;609;51.284;4.659;25;CLIM RR
1909;ESSEN;476;51.463;4.452;14;CLIM RR
1911;RETIE AWS;623;51.222;5.028;21;CLIM RR
1913;POPPEL;766;51.431;5.082;30;CLIM RR
1951;BALEN;1187;51.169;5.21;35;CLIM RR
2006;BRASSCHAAT;116;51.318;4.538;17;CLIM RR
2009;BRECHT;112;51.388;4.649;25;CLIM RR
2010;BEGIJNENDIJK;507;51.023;4.784;15;CLIM RR
2012;BLAUBERG;631;51.041;4.924;20;CLIM RR
2015;OEVEL;886;51.134;4.905;23;CLIM RR
2017;SINT-KATELIJNE-WAVER(AWS);882;51.076;4.526;10;CLIM RR
2018;VORSELAAR;1164;51.229;4.773;12;CLIM RR
2019;HERENTHOUT;1165;51.131;4.768;12;CLIM RR
2101;DESSEL;1163;51.235;5.122;25;CLIM RR
2108;RIJKEVORSEL;477;51.329;4.775;26;CLIM RR
2109;HAACHT;608;50.971;4.633;10;CLIM RR
2300;VIERSEL;129;51.188;4.653;6;CLIM RR
2304;WIJNEGEM;132;51.228;4.54;10;CLIM RR
2400;KOERSEL;135;51.07;5.28;39;CLIM RR
2403;MEEUWEN;140;51.106;5.52;71;CLIM RR
2404;KLEINE-BROGEL;141;51.17;5.464;64;CLIM RR
2407;MAASMECHELEN;147;50.959;5.712;42;CLIM RR
2409;LANAKEN;149;50.886;5.657;58;CLIM RR
2413;HECHTEL-EKSEL;1159;51.123;5.372;63;CLIM RR
2500;OPHOVEN;146;51.134;5.799;35;CLIM RR
2501;SCHAFFEN;139;50.998;5.063;54;CLIM RR
2508;KURINGEN;645;50.949;5.272;20;CLIM RR
2509;DIEPENBEEK AWS;660;50.916;5.451;39;CLIM RR
2511;HOUTHALEN;1168;51.026;5.4;75;CLIM RR
2512;ZONHOVEN;1169;50.985;5.376;45;CLIM RR
2600;LOZEN;150;51.206;5.558;36;CLIM RR
2602;LOMMEL;152;51.241;5.36;44;CLIM RR
2604;OOSTHAM;1130;51.116;5.177;35;CLIM RR
2605;MOLENSTEDE;155;51.007;5.031;18;CLIM RR
2710;DILBEEK;651;50.864;4.251;50;CLIM RR
2803;SOIGNIES;158;50.586;4.087;98;CLIM RR
2805;KAPELLE-OP-DEN-BOS;883;51.002;4.356;9;CLIM RR
2806;HERNE;1114;50.729;4.004;43;CLIM RR
2808;Elingen;1234;50.787;4.021;50;CLIM RR
2900;UCCLE-UKKEL (FERME);169;50.797;4.359;100;CLIM RR
2905;ZAVENTEM;171;50.897;4.528;58;CLIM RR
2907;BRAINE-L'ALLEUD;172;50.699;4.373;96;CLIM RR
2910;UCCLE-UKKEL AWS;627;50.797;4.358;101;CLIM RR
2911;UCCLE-UKKEL (ANCIEN FERME);771;50.797;4.357;100;CLIM RR
2913;UCCLE-UKKEL (OUVERT);166;50.797;4.357;100;CLIM RR
3005;KORBEEK-LO;479;50.864;4.746;31;CLIM RR
3007;UCCLE RESERVOIR;180;50.792;4.393;96;CLIM RR
3100;ERNAGE AWS;640;50.583;4.691;157;CLIM RR
3205;MARBAIS;480;50.543;4.538;145;CLIM RR
3207;MAZY;187;50.507;4.695;138;CLIM RR
3303;BLANMONT;192;50.62;4.646;125;CLIM RR
3309;HERENT;193;50.904;4.663;32;CLIM RR
3311;UCCLE VIVAQUA;470;50.782;4.366;100;CLIM RR
3313;SINT-PIETERS-RODE;606;50.905;4.811;60;CLIM RR
3315;LEEFDAAL;620;50.843;4.594;80;CLIM RR
3317;NETHEN;636;50.781;4.685;47;CLIM RR
3318;BORNIVAL;647;50.604;4.271;127;CLIM RR
3320;BUIZINGEN;895;50.725;4.278;85;CLIM RR
3321;WEZEMAAL;894;50.956;4.748;17;CLIM RR
3400;EZEMAAL;481;50.771;5.001;47;CLIM RR
3401;BEAUVECHAIN;200;50.747;4.765;127;CLIM RR
3406;GORSEM;205;50.772;5.161;84;CLIM RR
3409;RUTTEN;494;50.749;5.438;110;CLIM RR
3509;RANSBERG;219;50.864;5.034;60;CLIM RR
3510;BILZEN;220;50.867;5.508;63;CLIM RR
3511;VEDRIN;449;50.5;4.862;170;CLIM RR
3512;LANDENNE;450;50.52;5.054;218;CLIM RR
3513;HOUTEM;607;50.789;4.874;100;CLIM RR
3514;ENGELMANSHOVEN;890;50.768;5.25;95;CLIM RR
3515;MARILLES;1363;50.706;4.944;95;CLIM RR
3601;BIERSET;495;50.646;5.46;178;CLIM RR
3610;DAUSSOULX;602;50.515;4.872;180;CLIM RR
3703;BEN-AHIN;229;50.516;5.184;78;CLIM RR
3704;ANGLEUR;475;50.62;5.583;65;CLIM RR
3708;LIEGE-MONSIN;235;50.666;5.641;58;CLIM RR
3900;IVOZ-RAMET;236;50.592;5.461;62;CLIM RR
3904;ANDENNE;238;50.49;5.069;100;CLIM RR
3906;AWIRS;1333;50.597;5.411;NA;CLIM RR
3908;TIHANGE;231;50.533;5.296;74;CLIM RR
3909;GRANDS-MALADES;240;50.467;4.897;75;CLIM RR
4203;GODARVILLE;258;50.498;4.293;138;CLIM RR
4204;GOSSELIES;241;50.455;4.443;192;CLIM RR
4205;LA HESTRE;248;50.477;4.248;173;CLIM RR
