"city","WMOcode","lat","long","alt"
"ANTWERP DEURNE","6450","51.200","4.467","12"
"BEITEM","6414","50.900","3.117","25"
"Bierset","6478","50.650","5.450","186"
"BRUSSELS NATIONAL","6451","50.900","4.533","58"
"BRUSSELS UCCLE","6447","50.799","4.349","100"
"Charleroi/Gosselies","6449","50.459","4.454","192"
"Chievres","6432","50.567","3.833","60"
"Elsenborn","6496","50.467","6.183","564"
"ERNAGE","6459","50.570","4.680","157"
"Florennes","6456","50.233","4.650","279"
"KLEINE BROGEL","6479","51.170","5.470","55"
"Koksijde","6400","51.083","2.650","4"
"MONT-RIGI","6494","50.520","6.070","673"
"OSTEND AIRPORT","6407","51.200","2.867","4"
"Schaffen","6465","51.000","5.067","30"
"SEMMERZAKE","6428","50.930","3.670","36"
"Spa / La Sauveniere","6490","50.483","5.917","470"
"St-Hubert","6476","50.033","5.400","563"
